Dataset: Annual mean AQ data for the UK since 1990
Created on: 11 November 2020
Updated on: 14 January 2022
Created by: Maggie Marvin (mmarvin@ed.ac.uk)
Missing values: -999
Number of variables: 9
Number of lines in header: 10
Notes: Annual mean values and confidence intervals (CI) are derived from ground-based measurements of nitrogen dioxide (NO2) and ozone (O3) from rural and urban background sites across the UK. Units for all variables except year are provided in ug/m3.
Original data sources: https://www.gov.uk/government/publications/air-quality-statistics/concentrations-of-ozone#temporal-variations-in-concentrations-of-osub3sub-in-the-uk-2019; https://www.gov.uk/government/publications/air-quality-statistics/ntrogen-dioxide 
year,ruralO3_mean,ruralO3_CI,urbanO3_mean,urbanO3_CI,ruralNO2_mean,ruralNO2_CI,urbanNO2_mean,urbanNO2_CI
1990,69.72,4.51,-999,-999,-999,-999,53.80,13.87
1991,66.79,4.46,-999,-999,-999,-999,58.69,13.34
1992,67.86,5.04,39.92,12.53,-999,-999,59.75,8.06
1993,65.22,5.31,40.18,4.83,-999,-999,52.20,4.38
1994,69.38,3.87,47.43,3.26,-999,-999,49.04,3.61
1995,70.04,3.85,50.60,4.46,-999,-999,48.03,3.62
1996,66.71,3.36,45.92,2.79,-999,-999,47.38,3.20
1997,65.88,3.29,45.26,2.48,17.69,15.84,46.04,3.01
1998,68.05,3.23,48.46,2.32,14.48,6.13,40.67,2.93
1999,72.21,2.94,55.61,2.44,15.95,14.94,39.70,3.07
2000,67.17,2.90,52.19,2.42,13.97,4.93,35.87,2.66
2001,66.14,3.11,51.34,2.10,15.47,5.15,35.67,2.32
2002,66.95,3.06,52.48,2.31,12.93,4.99,32.91,2.36
2003,73.12,3.14,58.93,2.34,14.94,4.74,35.28,2.76
2004,71.91,2.70,56.37,2.42,11.21,3.03,32.43,2.80
2005,69.59,3.18,56.02,2.29,10.36,2.72,32.43,3.22
2006,73.86,3.19,60.54,2.47,10.45,2.88,31.93,3.18
2007,67.69,2.37,56.23,2.25,10.45,2.48,28.45,2.98
2008,69.82,2.78,58.81,2.71,8.95,2.15,28.24,2.73
2009,67.64,2.66,54.61,2.88,8.99,2.15,29.15,2.95
2010,67.06,2.42,51.80,2.50,9.37,2.71,31.32,3.46
2011,67.96,2.26,56.96,2.55,9.23,2.73,26.94,3.16
2012,65.76,2.33,55.01,1.94,9.73,3.11,26.75,3.20
2013,68.99,2.20,59.19,2.32,8.68,2.89,25.39,3.02
2014,69.46,2.37,59.94,2.35,7.98,2.55,25.21,3.35
2015,71.14,1.88,60.84,2.03,7.04,2.39,22.83,2.74
2016,67.14,1.93,55.91,2.08,8.65,2.47,23.28,2.59
2017,69.18,2.24,58.06,2.26,7.58,2.44,21.74,2.54
2018,73.26,2.40,62.77,2.00,7.14,2.06,20.00,2.09
2019,72.08,2.35,61.06,2.20,7.17,2.26,19.57,2.06
2020,71.42,1.85,64.37,1.77,5.40,1.60,15.06,1.47
